1.238029683008790016e-03,9.974799752235412598e-01,1.281955861486494541e-03
9.957732558250427246e-01,3.395657520741224289e-03,8.310333359986543655e-04
9.980795383453369141e-01,1.893490087240934372e-03,2.698446951399091631e-05
1.402976631652563810e-04,3.993746067862957716e-04,9.994602799415588379e-01
2.599343715701252222e-04,9.996737241744995117e-01,6.640831998083740473e-05
2.895689606666564941e-01,5.901837944984436035e-01,1.202472448348999023e-01
1.324623450636863708e-02,9.408757090568542480e-01,4.587801918387413025e-02
3.320521136629395187e-05,2.540775130910333246e-05,9.999413490295410156e-01
9.988583326339721680e-01,1.100261928513646126e-03,4.144756530877202749e-05
9.883203506469726562e-01,1.159066893160343170e-02,8.896328654373064637e-05
9.966835379600524902e-01,3.300272626802325249e-03,1.616394183656666428e-05
8.928508032113313675e-05,1.720443833619356155e-04,9.997386336326599121e-01
6.836215470684692264e-05,8.292277925647795200e-05,9.998487234115600586e-01
2.567546616774052382e-04,9.996469020843505859e-01,9.632763249101117253e-05
9.885196089744567871e-01,1.127444859594106674e-02,2.060037368210032582e-04
9.988202452659606934e-01,1.031625899486243725e-03,1.481076178606599569e-04
3.707301802933216095e-03,9.943804144859313965e-01,1.912238658405840397e-03
9.903120808303356171e-04,2.686818689107894897e-02,9.721415042877197266e-01
6.008239462971687317e-02,3.080808743834495544e-02,9.091095328330993652e-01
1.562599986791610718e-01,8.429221510887145996e-01,8.178342832252383232e-04
9.967867136001586914e-01,3.176074242219328880e-03,3.721587927429936826e-05
9.968746900558471680e-01,3.078194102272391319e-03,4.705858373199589550e-05
9.096423164010047913e-04,9.960856437683105469e-01,3.004681086167693138e-03
1.938511580228805542e-01,8.050497770309448242e-01,1.099088112823665142e-03
9.915434122085571289e-01,8.362310938537120819e-03,9.429080091649666429e-05
9.987130165100097656e-01,1.253668800927698612e-03,3.338003079988993704e-05
3.084531752392649651e-03,9.881097078323364258e-01,8.805741555988788605e-03
1.303942553931847215e-04,9.998371601104736328e-01,3.241930608055554330e-05
9.954876303672790527e-01,4.458888433873653412e-03,5.342917211237363517e-05
9.136586785316467285e-01,8.335095643997192383e-02,2.990440465509891510e-03
9.988141059875488281e-01,1.165630179457366467e-03,2.029414827120490372e-05
9.988008737564086914e-01,1.125848735682666302e-03,7.331730012083426118e-05
9.981067180633544922e-01,1.312383101321756840e-03,5.808491841889917850e-04
1.632117782719433308e-03,1.042301068082451820e-03,9.973255395889282227e-01
1.216228976845741272e-01,6.438380479812622070e-01,2.345390021800994873e-01
